Disease
"Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,,,,,,,,,,"
"Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,,,,,,,,,,,"
"Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,,,,,,,,,,,"
"Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,,,,,,,,,,,"
"Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,,,,,,,,,,,"
"Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,,,,,,,,,,,"
"Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,,,,,,,,,,,"
"Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,,,,,,,,,,,"
"Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,,,,,,,,,,,"
"Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,,,,,,,,,,"
"Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,,,,,,,,,,"
"Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,,,,,,,,,,,"
"Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,,,,,,,,,,,"
"Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,,,,,,,,,,,"
"Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,,,,,,,,,,,"
"Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,,,,,,,,,,,"
"Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,,,,,,,,,,,"
"Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,,,,,,,,,,,"
"Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,,,,,,,,,,,"
"Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,,,,,,,,,,"
"GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,,,,,,,,,,"
"GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,,,,,,,,,,,"
"GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,,,,,,,,,,,"
