Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17,Symptom 18,Symptom 19,Symptom 20,Symptom 21,Symptom 22,Symptom 23,Symptom 24,Symptom 25,Symptom 26,Symptom 27,Symptom 28
Fungal infection,Itching,Skin rash,Nodal skin eruptions,Dischromic patches,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,Skin rash,Nodal skin eruptions,Dischromic patches,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,Itching,Nodal skin eruptions,Dischromic patches,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,Itching,Skin rash,Dischromic patches,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,Itching,Skin rash,Nodal skin eruptions,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,Skin rash,Nodal skin eruptions,Dischromic patches,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,Itching,Nodal skin eruptions,Dischromic patches,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,Itching,Skin rash,Dischromic patches,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,Itching,Skin rash,Nodal skin eruptions,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,Itching,Skin rash,Nodal skin eruptions,Dischromic patches,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,Continuous sneezing,Shivering,Chills,Watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,Shivering,Chills,Watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,Continuous sneezing,Chills,Watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,Continuous sneezing,Shivering,Watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,Continuous sneezing,Shivering,Chills,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,Shivering,Chills,Watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,Continuous sneezing,Chills,Watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,Continuous sneezing,Shivering,Watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,Continuous sneezing,Shivering,Chills,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,Continuous sneezing,Shivering,Chills,Watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,
